L;ReR;ImR;ReT;ImT
2;-0.0625983544197606;-0.242238740123851;0.937401648471185;-0.242239526606749
2.03;-0.0562589353350528;-0.230420677313556;0.943741058683204;-0.230421478636083
2.06;-0.0506908430160997;-0.219365239204927;0.949309156161336;-0.219366032674039
2.09;-0.0457315276311142;-0.208901877065391;0.954268463966371;-0.208902685043416
2.12;-0.0412562938499245;-0.198881998744015;0.958743708912068;-0.198882803215517
2.15;-0.0371700863332732;-0.189178002589244;0.962829921317008;-0.189178779557757
2.18;-0.0333963986208314;-0.179668982084683;0.966603603197334;-0.179669729564338
2.21;-0.0298852811052341;-0.17027040424116;0.970114720201845;-0.170271222056224
2.24;-0.0265831075539697;-0.160861167877646;0.973416889909544;-0.160861995202807
2.27;-0.0234564259138632;-0.151347600810049;0.97654357670298;-0.151348414635077
2.3;-0.020474652438906;-0.141616821772586;0.979525345022172;-0.141617664356333
2.33;-0.0176207449030096;-0.131568024086139;0.982379257418314;-0.131568837425051
2.36;-0.0148766016625466;-0.121058649520638;0.985123392830874;-0.121059452322387
2.39;-0.0122329231074892;-0.109923554181856;0.987767075801171;-0.109924391249037
2.42;-0.00970156749672976;-0.0980171955498746;0.990298426401129;-0.0980180372793937
2.45;-0.00729120398701178;-0.0850763246846186;0.992708792780433;-0.0850770830423045
2.48;-0.00504123040829061;-0.0708220206208035;0.994958767078332;-0.070822872048256
2.51;-0.00302129134247892;-0.054882790989673;0.996978707610487;-0.0548835824553859
2.54;-0.00135067154074944;-0.0367262324723442;0.998649327494429;-0.0367271048368367
2.57;-0.000245772834704288;-0.0156747915977882;0.999754227116906;-0.0156756456311749
2.6;-8.58903187878502e-05;0.00926813370302175;0.999914102404387;0.00926726137291398
2.63;-0.0015663115328896;0.0395460141316064;0.998433689726585;0.0395452481778804
2.66;-0.00602363238216853;0.0773783884048808;0.99397636780446;0.0773775232675574
2.69;-0.0161084879202588;0.125893169349129;0.983891522195131;0.1258924107353
2.72;-0.0376371887159675;0.190317659811187;0.962362779861818;0.190316868212589
2.75;-0.0840603591474942;0.277478722307192;0.915939653794425;0.277477864511226
2.78;-0.18870903790356;0.391277731083467;0.811290938313934;0.39127694741884
2.81;-0.427427690594645;0.494705676783783;0.572572301149455;0.494704783307507
2.84;-0.837278620351378;0.369111719586556;0.162721376241412;0.369110828993764
2.87;-0.980465709954473;-0.138392865564771;0.0195342891715179;-0.138393706182126
2.9;-0.717036618372413;-0.450438348251232;0.282963382664312;-0.45043923719959
2.93;-0.477433849172558;-0.499490081098368;0.522566149020925;-0.499490939303311
2.96;-0.333799458876391;-0.471568612377943;0.666200541733905;-0.471569510536021
2.98999999999999;-0.248226057169138;-0.431983202603974;0.751773945232368;-0.431984111374514
